created_at,field1,field2,field3,field4
2022-07-13 23:13:08.073200,0.0,100.0,99.345144,29.75
2022-07-13 23:13:08.514323,0.0,100.0,99.345144,29.75
2022-07-13 23:13:08.870252,0.0,100.0,99.345144,29.75
2022-07-13 23:13:09.226003,0.0,100.0,99.345144,29.75
2022-07-13 23:13:09.597994,0.0,100.0,99.345144,29.75
2022-07-13 23:13:09.956147,0.0,100.0,99.345144,29.75
2022-07-13 23:13:10.353045,2.83,100.0,99.345144,29.75
2022-07-13 23:13:10.720420,3.24,100.0,99.345144,29.75
2022-07-13 23:13:11.089275,3.24,100.0,99.345144,29.75
2022-07-13 23:13:11.446953,3.24,100.0,99.345144,29.75
2022-07-13 23:13:11.808192,3.24,100.0,99.345144,29.75
2022-07-13 23:13:12.169008,2.92,100.0,99.345144,29.75
2022-07-13 23:13:12.533964,2.51,100.0,99.345144,29.75
2022-07-13 23:13:12.884888,2.5,100.0,99.345144,29.75
2022-07-13 23:13:13.223417,2.55,100.0,99.345144,29.75
2022-07-13 23:13:13.569191,3.14,100.0,99.345144,29.75
2022-07-13 23:13:13.924241,3.24,100.0,99.345144,29.75
2022-07-13 23:13:14.266109,3.24,100.0,99.345144,29.75
2022-07-13 23:13:14.626425,3.24,100.0,99.345144,29.75
2022-07-13 23:13:15.035804,3.25,100.0,99.345144,29.75
2022-07-13 23:13:15.446660,3.11,100.0,99.345144,29.75
2022-07-13 23:13:15.793727,2.57,100.0,99.345144,29.75
2022-07-13 23:13:16.140928,2.48,100.0,99.345144,29.75
2022-07-13 23:13:16.493765,2.49,100.0,99.345144,29.75
2022-07-13 23:13:16.861267,3.02,100.0,99.345144,29.75
2022-07-13 23:13:17.233641,3.24,100.0,99.345144,29.75
2022-07-13 23:13:17.606507,3.24,100.0,99.345144,29.75
2022-07-13 23:13:17.976374,3.24,100.0,99.345144,29.75
2022-07-13 23:13:18.346253,3.24,100.0,99.345144,29.75
2022-07-13 23:13:18.710567,2.66,100.0,99.345144,29.75
2022-07-13 23:13:19.075240,2.66,100.0,99.345144,29.75
2022-07-13 23:13:19.418517,3.24,100.0,99.345144,29.75
2022-07-13 23:13:19.788543,3.24,100.0,99.345144,29.75
2022-07-13 23:13:20.159648,3.24,100.0,99.345144,29.75
2022-07-13 23:13:20.544400,3.25,100.0,99.345144,29.75
2022-07-13 23:13:20.902342,2.96,100.0,99.345144,29.75
2022-07-13 23:13:21.256598,2.55,100.0,99.345144,29.75
2022-07-13 23:13:21.603444,2.64,100.0,99.345144,29.75
2022-07-13 23:13:21.990435,2.74,100.0,99.345144,29.75
2022-07-13 23:13:22.360312,3.24,100.0,99.345144,29.75
2022-07-13 23:13:22.712714,3.24,100.0,99.345144,29.75
2022-07-13 23:13:23.070239,3.24,100.0,99.345144,29.75
2022-07-13 23:13:23.535011,3.25,100.0,99.345144,29.75
2022-07-13 23:13:23.913652,3.09,100.0,99.345144,29.75
2022-07-13 23:13:24.319107,2.11,100.0,99.345144,29.75
2022-07-13 23:13:24.686648,1.95,100.0,99.345144,29.75
2022-07-13 23:13:25.060771,2.06,100.0,99.345144,29.75
2022-07-13 23:13:25.418036,2.81,100.0,99.345144,29.75
2022-07-13 23:13:25.836833,3.24,100.0,99.345144,29.75
2022-07-13 23:13:26.280439,3.24,100.0,99.345144,29.75
2022-07-13 23:13:26.627637,3.25,100.0,99.345144,29.75
2022-07-13 23:13:27.077555,2.87,100.0,99.345144,29.75
2022-07-13 23:13:27.469094,2.04,100.0,99.345144,29.75
2022-07-13 23:13:27.825642,1.86,100.0,99.345144,29.75
2022-07-13 23:13:28.170067,1.87,100.0,99.345144,29.75
2022-07-13 23:13:28.522122,2.08,100.0,99.345144,29.75
2022-07-13 23:13:28.869778,3.19,100.0,99.345144,29.75
2022-07-13 23:13:29.236051,3.24,100.0,99.345144,29.75
2022-07-13 23:13:29.601080,3.25,100.0,99.345144,29.75
2022-07-13 23:13:29.988431,3.25,100.0,99.345144,29.75
2022-07-13 23:13:30.379948,2.94,100.0,99.345144,29.75
2022-07-13 23:13:30.744313,1.92,100.0,99.345144,29.75
2022-07-13 23:13:31.127900,1.83,100.0,99.345144,29.75
2022-07-13 23:13:31.485683,1.83,100.0,99.345144,29.75
2022-07-13 23:13:31.837966,2.6,100.0,99.345144,29.75
2022-07-13 23:13:32.185265,3.22,100.0,99.345144,29.75
2022-07-13 23:13:32.552517,3.24,100.0,99.345144,29.75
2022-07-13 23:13:32.896544,3.25,100.0,99.345144,29.75
2022-07-13 23:13:33.261036,3.24,100.0,99.345144,29.75
2022-07-13 23:13:33.639736,2.73,100.0,99.345144,29.75
2022-07-13 23:13:33.995284,1.82,100.0,99.345144,29.75
2022-07-13 23:13:34.358090,1.82,100.0,99.345144,29.75
2022-07-13 23:13:34.733010,2.08,100.0,99.345144,29.75
2022-07-13 23:13:35.106327,3.07,100.0,99.345144,29.75
2022-07-13 23:13:35.454337,3.24,100.0,99.345144,29.75
2022-07-13 23:13:35.828303,3.25,100.0,99.345144,29.75
2022-07-13 23:13:36.183589,3.24,100.0,99.345144,29.75
2022-07-13 23:13:36.553234,2.68,100.0,99.345144,29.75
2022-07-13 23:13:36.960402,1.89,100.0,99.345144,29.75
2022-07-13 23:13:37.347637,2.23,100.0,99.345144,29.75
2022-07-13 23:13:37.745280,2.97,100.0,99.345144,29.75
2022-07-13 23:13:38.123490,3.21,100.0,99.345144,29.75
2022-07-13 23:13:38.480824,3.24,100.0,99.345144,29.75
2022-07-13 23:13:38.850344,3.25,100.0,99.345144,29.75
2022-07-13 23:13:39.234351,3.24,100.0,99.345144,29.75
2022-07-13 23:13:39.594182,2.84,100.0,99.345144,29.75
2022-07-13 23:13:39.955277,3.11,100.0,99.345144,29.75
2022-07-13 23:13:40.349822,3.24,100.0,99.345144,29.75
2022-07-13 23:13:40.695133,3.25,100.0,99.345144,29.75
2022-07-13 23:13:41.053930,3.24,100.0,99.345144,29.75
2022-07-13 23:13:41.404144,3.24,100.0,99.345144,29.75
2022-07-13 23:13:41.753286,2.99,100.0,99.345144,29.75
2022-07-13 23:13:42.103549,2.95,100.0,99.345144,29.75
2022-07-13 23:13:42.452285,2.95,100.0,99.345144,29.75
2022-07-13 23:13:42.808279,3.09,100.0,99.345144,29.75
2022-07-13 23:13:43.177605,3.24,100.0,99.345144,29.75
2022-07-13 23:13:43.528568,3.25,100.0,99.345144,29.75
2022-07-13 23:13:43.882252,3.24,100.0,99.345144,29.75
2022-07-13 23:13:44.234654,3.24,100.0,99.345144,29.75
2022-07-13 23:13:44.588865,3.22,100.0,99.345144,29.75
2022-07-13 23:18:08.833320,1.13,0,96.89147399999999,29.75
2022-07-13 23:18:09.338237,0.7,0,96.89147399999999,29.75
2022-07-13 23:18:09.704445,0.32,0,96.89147399999999,29.75
2022-07-13 23:18:10.063348,0.02,0,96.89147399999999,29.75
2022-07-13 23:18:10.455435,0.35,0,96.89147399999999,29.75
2022-07-13 23:18:10.829485,1.03,0,96.89147399999999,29.75
2022-07-13 23:18:11.197865,1.73,0,96.89147399999999,29.75
2022-07-13 23:18:11.642393,2.58,0,96.89147399999999,29.75
2022-07-13 23:18:12.324599,2.57,0,96.89147399999999,29.75
2022-07-13 23:18:14.003894,0.97,0,96.89147399999999,29.75
2022-07-13 23:18:14.369031,0.79,0,96.89147399999999,29.75
2022-07-13 23:18:15.044547,0.59,0,96.89147399999999,29.75
2022-07-13 23:18:15.451515,0.92,0,96.89147399999999,29.75
2022-07-13 23:18:17.127402,2.39,0,96.89147399999999,29.75
2022-07-13 23:18:18.865575,3.24,0,96.89147399999999,29.75
2022-07-13 23:18:19.421473,2.37,0,96.89147399999999,29.75
2022-07-13 23:18:19.896210,2.92,0,96.89147399999999,29.75
2022-07-13 23:18:20.610329,0.56,0,96.89147399999999,29.75
2022-07-13 23:18:20.996785,0.1,0,96.89147399999999,29.75
2022-07-13 23:18:21.393512,0.01,0,96.89147399999999,29.75
2022-07-13 23:18:21.764087,2.25,0,96.89147399999999,29.75
2022-07-13 23:18:22.148844,0.07,0,96.89147399999999,29.75
2022-07-13 23:18:22.819110,0.07,0,96.89147399999999,29.75
2022-07-13 23:18:23.493191,0.42,0,96.89147399999999,29.75
2022-07-13 23:18:24.134615,1.62,0,96.89147399999999,29.75
2022-07-13 23:18:24.815458,0.79,0,96.89147399999999,29.75
2022-07-13 23:18:25.523207,0.02,0,96.89147399999999,29.75
2022-07-13 23:18:25.879247,0.07,0,96.89147399999999,29.75
2022-07-13 23:18:26.243238,0.87,0,96.89147399999999,29.75
2022-07-13 23:18:26.610625,1.83,0,96.89147399999999,29.75
2022-07-13 23:18:26.984467,2.65,0,96.89147399999999,29.75
2022-07-13 23:18:27.365389,3.12,0,96.89147399999999,29.75
2022-07-13 23:18:27.718254,3.14,0,96.89147399999999,29.75
2022-07-13 23:18:28.098593,1.11,0,96.89147399999999,29.75
2022-07-13 23:18:28.486394,0.4,0,96.89147399999999,29.75
2022-07-13 23:18:28.838499,1.26,0,96.89147399999999,29.75
2022-07-13 23:18:29.196280,3.24,0,96.89147399999999,29.75
2022-07-13 23:18:29.557873,3.18,0,96.89147399999999,29.75
2022-07-13 23:18:29.946067,2.66,0,96.89147399999999,29.75
2022-07-13 23:18:30.343117,2.08,0,96.89147399999999,29.75
2022-07-13 23:18:30.697482,0.1,0,96.89147399999999,29.75
2022-07-13 23:18:31.090585,0.6,0,96.89147399999999,29.75
2022-07-13 23:18:31.500571,0.81,0,96.89147399999999,29.75
2022-07-13 23:18:31.864110,3.24,0,96.89147399999999,29.75
2022-07-13 23:18:32.215443,2.67,0,96.89147399999999,29.75
2022-07-13 23:18:32.584021,2.84,0,96.89147399999999,29.75
2022-07-13 23:18:32.949658,1.34,0,96.89147399999999,29.75
2022-07-13 23:18:33.310437,3.19,0,96.89147399999999,29.75
2022-07-13 23:18:33.681122,2.66,0,96.89147399999999,29.75
2022-07-13 23:18:34.041553,2.1,0,96.89147399999999,29.75
2022-07-13 23:18:34.394649,3.24,0,96.89147399999999,29.75
2022-07-13 23:18:34.792906,2.91,0,96.89147399999999,29.75
2022-07-13 23:18:35.225740,0.73,0,96.89147399999999,29.75
2022-07-13 23:18:35.613668,0.78,0,96.89147399999999,29.75
2022-07-13 23:18:35.985072,2.33,0,96.89147399999999,29.75
2022-07-13 23:18:36.356068,2.99,0,96.89147399999999,29.75
2022-07-13 23:18:36.730936,3.21,0,96.89147399999999,29.75
2022-07-13 23:18:37.111786,1.71,0,96.89147399999999,29.75
2022-07-13 23:18:37.469466,2.82,0,96.89147399999999,29.75
2022-07-13 23:18:37.852551,2.49,0,96.89147399999999,29.75
2022-07-13 23:18:38.237090,0.82,0,96.89147399999999,29.75
2022-07-13 23:18:38.615010,0.8,0,96.89147399999999,29.75
2022-07-13 23:18:38.993700,0.71,0,96.89147399999999,29.75
2022-07-13 23:18:39.368843,2.1,0,96.89147399999999,29.75
2022-07-13 23:18:39.777353,2.82,0,96.89147399999999,29.75
2022-07-13 23:18:40.150610,2.95,0,96.89147399999999,29.75
2022-07-13 23:18:40.531715,3.22,0,96.89147399999999,29.75
2022-07-13 23:18:40.926693,3.14,0,96.89147399999999,29.75
2022-07-13 23:18:41.316842,1.04,0,96.89147399999999,29.75
2022-07-13 23:18:41.695393,2.17,0,96.89147399999999,29.75
2022-07-13 23:18:42.047786,2.61,0,96.89147399999999,29.75
2022-07-13 23:18:42.417109,2.76,0,96.89147399999999,29.75
2022-07-13 23:18:42.795329,2.31,0,96.89147399999999,29.75
2022-07-13 23:18:43.156820,1.69,0,96.89147399999999,29.75
2022-07-13 23:18:43.529625,0.7,0,96.89147399999999,29.75
2022-07-13 23:18:43.898553,0.04,0,96.89147399999999,29.75
2022-07-13 23:18:44.277924,0.69,0,96.89147399999999,29.75
2022-07-13 23:18:44.682903,1.64,0,96.89147399999999,29.75
2022-07-13 23:18:45.116147,0.67,0,96.89147399999999,29.75
2022-07-13 23:18:45.491681,0.0,0,96.89147399999999,29.75
2022-07-13 23:18:45.862501,0.06,0,96.89147399999999,29.75
2022-07-13 23:18:46.253753,0.62,0,96.89147399999999,29.75
2022-07-13 23:18:46.641480,1.5,0,96.89147399999999,29.75
2022-07-13 23:18:47.007619,0.44,0,96.89147399999999,29.75
2022-07-13 23:18:47.382453,0.75,0,96.89147399999999,29.75
2022-07-13 23:18:47.754726,1.2,0,96.89147399999999,29.75
2022-07-13 23:18:48.133312,1.19,0,96.89147399999999,29.75
2022-07-13 23:18:48.526539,1.46,0,96.89147399999999,29.75
2022-07-13 23:18:48.896737,1.97,0,96.89147399999999,29.75
2022-07-13 23:18:49.312454,2.07,0,96.89147399999999,29.75
2022-07-13 23:18:49.686709,2.33,0,96.89147399999999,29.75
2022-07-13 23:18:50.102594,2.19,0,96.89147399999999,29.75
2022-07-13 23:18:50.505354,0.68,0,96.89147399999999,29.75
2022-07-13 23:18:50.883845,2.39,0,96.89147399999999,29.75
2022-07-13 23:18:51.257036,2.22,0,96.89147399999999,29.75
2022-07-13 23:18:51.929064,0.23,0,96.89147399999999,29.75
2022-07-13 23:18:52.293932,0.0,0,96.89147399999999,29.75
2022-07-13 23:18:52.963819,0.0,0,96.89147399999999,29.75
2022-07-13 23:18:53.358393,3.15,0,96.89147399999999,29.75
2022-07-13 23:18:53.745061,2.14,0,96.89147399999999,29.75
